epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,35.6604,3.14064,3.61985,4.22243,0.00334,0.63235,0.00506,0.00163,2.77801,3.41737,4.15996,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085
2,69.9616,3.14907,3.60726,4.20062,0.00355,0.63655,0.01695,0.0046,2.76672,3.46285,4.14916,0.00388968,0.00129656,0.00388968,0.00129656,0.00388968,0.00129656,0.00388968,0.00129656
3,103.093,3.08876,3.54633,4.15874,0.0035,0.65406,0.02046,0.00538,2.73831,3.41996,4.11507,0.00573191,0.00191064,0.00573191,0.00191064,0.00573191,0.00191064,0.00573191,0.00191064
4,135.932,3.09834,3.49814,4.11554,0.00357,0.72479,0.01708,0.00457,2.70282,3.33646,4.07456,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,169.228,3.08431,3.39769,4.04406,0.07263,0.15196,0.03812,0.00985,2.64979,3.32342,3.96545,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,202.362,3.02649,3.31816,3.95656,0.18512,0.04622,0.06162,0.01549,2.61987,3.19965,3.92325,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,235.693,2.98253,3.23934,3.86399,0.16469,0.19538,0.09756,0.02683,2.52686,3.32745,3.73695,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,271.201,2.87203,3.11885,3.74951,0.18566,0.21148,0.10339,0.02937,2.45849,3.11651,3.64985,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,304.487,2.80068,3.0538,3.64883,0.19633,0.20658,0.11621,0.03565,2.41993,3.04356,3.55336,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,337.655,2.68095,2.96758,3.53348,0.25795,0.25,0.1519,0.04339,2.36017,2.9144,3.46557,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,372.66,2.56798,2.83168,3.41062,0.28177,0.29313,0.19424,0.0641,2.31621,2.69245,3.39887,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,405.853,2.49346,2.77001,3.30501,0.27241,0.30322,0.18534,0.06032,2.32179,2.70726,3.37746,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,439.386,2.41242,2.66249,3.19634,0.33482,0.33613,0.25305,0.08319,2.22167,2.60074,3.20904,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,475.797,2.31795,2.56787,3.08842,0.37071,0.37535,0.28991,0.09795,2.17212,2.52025,3.13112,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,511.924,2.24826,2.48239,2.98367,0.39981,0.39426,0.32237,0.12035,2.11174,2.4144,3.04918,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,547.202,2.1867,2.42628,2.9216,0.40205,0.37535,0.32639,0.11908,2.08826,2.40988,3.01435,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,583.523,2.13137,2.39183,2.8433,0.43566,0.40966,0.34165,0.13272,2.02262,2.43877,2.89595,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,736.721,2.0695,2.35422,2.79498,0.51102,0.40032,0.39818,0.16345,1.98113,2.30685,2.86675,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,773.197,2.0219,2.28776,2.73243,0.47292,0.41457,0.37628,0.15456,2.00249,2.28266,2.88331,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,852.431,1.98911,2.25816,2.68299,0.53867,0.44818,0.4466,0.18913,1.91302,2.19732,2.74198,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,937.531,1.988,2.23248,2.64395,0.58042,0.47273,0.48735,0.21344,1.89856,2.05092,2.76688,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,1008.75,1.91051,2.18525,2.60275,0.5525,0.45564,0.46195,0.20125,1.89418,2.10245,2.7035,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,1085.72,1.91703,2.14874,2.57043,0.5921,0.45728,0.48827,0.21955,1.88044,2.06034,2.67819,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,1147.64,1.89066,2.1325,2.54115,0.58473,0.49599,0.51385,0.23737,1.84524,1.96533,2.65464,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,1230.71,1.84358,2.07302,2.48714,0.59864,0.46709,0.49764,0.23341,1.83002,1.96466,2.64725,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,1319.45,1.85406,2.06539,2.48778,0.61725,0.50933,0.54966,0.25767,1.79375,1.90838,2.57189,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,1406.59,1.81064,2.05921,2.45536,0.61574,0.45868,0.5011,0.24102,1.80031,1.95065,2.61996,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,1502.38,1.78996,2.01709,2.42631,0.63284,0.51751,0.55614,0.26132,1.78871,1.8515,2.54465,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,1585.21,1.80789,1.9839,2.41723,0.68212,0.5063,0.57613,0.27721,1.75718,1.82207,2.48739,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,1673.8,1.76942,1.97129,2.41398,0.62697,0.5119,0.56855,0.287,1.70218,1.80563,2.45807,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
