epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.544,3.1198,3.73502,4.21796,0.00313,0.65686,0.00676,0.00193,2.79435,3.52997,4.15686,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085
2,170.487,3.12874,3.68287,4.18987,0.00322,0.67647,0.0116,0.00291,2.78912,3.62826,4.1302,0.00391587,0.00130529,0.00391587,0.00130529,0.00391587,0.00130529,0.00391587,0.00130529
3,278.666,3.05263,3.59493,4.14301,0.00323,0.67787,0.02579,0.00613,2.77421,3.52817,4.09583,0.00581069,0.0019369,0.00581069,0.0019369,0.00581069,0.0019369,0.00581069,0.0019369
4,383.525,3.05016,3.52245,4.06928,0.01552,0.47199,0.02241,0.00543,2.73759,3.46894,4.04138,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
5,475.508,2.93962,3.39343,3.94026,0.15191,0.20168,0.07999,0.02,2.67387,3.30556,3.85945,0.0056832,0.0018944,0.0056832,0.0018944,0.0056832,0.0018944,0.0056832,0.0018944
6,592.972,2.84478,3.25193,3.8078,0.24486,0.18557,0.12521,0.03128,2.60395,3.33926,3.71405,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868
7,713.786,2.75177,3.14907,3.66543,0.27546,0.23669,0.16107,0.04457,2.53367,2.97168,3.61645,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
8,831.687,2.64979,3.00592,3.51957,0.25634,0.2584,0.16713,0.0479,2.4682,2.86359,3.53503,0.0054456,0.0018152,0.0054456,0.0018152,0.0054456,0.0018152,0.0054456,0.0018152
9,948.654,2.56934,2.9091,3.40382,0.2927,0.2542,0.16861,0.05101,2.44586,2.89142,3.49236,0.0053664,0.0017888,0.0053664,0.0017888,0.0053664,0.0017888,0.0053664,0.0017888
10,1065.26,2.49406,2.7967,3.29801,0.33927,0.29126,0.22897,0.07176,2.36245,2.6861,3.35449,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
11,1182.99,2.35861,2.65909,3.15744,0.32868,0.35784,0.26636,0.09172,2.24766,2.56642,3.17218,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
12,1299.65,2.28315,2.59243,3.07036,0.38597,0.34159,0.30041,0.10806,2.20285,2.48139,3.16807,0.0051288,0.0017096,0.0051288,0.0017096,0.0051288,0.0017096,0.0051288,0.0017096
13,1416.67,2.1832,2.49086,2.96286,0.48263,0.37255,0.36749,0.13893,2.13322,2.359,3.10203,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
14,1534.5,2.11204,2.41214,2.86629,0.46948,0.42157,0.40016,0.15663,2.03602,2.27881,2.92485,0.0049704,0.0016568,0.0049704,0.0016568,0.0049704,0.0016568,0.0049704,0.0016568
15,1651.88,2.04429,2.32143,2.77533,0.49605,0.41317,0.41692,0.17084,2.02803,2.23877,2.93191,0.0048912,0.0016304,0.0048912,0.0016304,0.0048912,0.0016304,0.0048912,0.0016304
16,1768.85,1.98934,2.25848,2.7053,0.55529,0.43978,0.4679,0.19707,1.94742,2.10689,2.82679,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
17,1885.38,1.94537,2.19527,2.65085,0.58219,0.5021,0.53107,0.23721,1.86389,2.03205,2.70779,0.0047328,0.0015776,0.0047328,0.0015776,0.0047328,0.0015776,0.0047328,0.0015776
18,2002.02,1.9062,2.13936,2.57954,0.61174,0.51401,0.54471,0.24194,1.84821,1.94007,2.66969,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512
19,2118.02,1.85003,2.07257,2.53953,0.59988,0.53571,0.5563,0.25884,1.80359,1.88619,2.64984,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
20,2232.76,1.81406,2.05059,2.48826,0.60953,0.52381,0.55225,0.25748,1.77945,1.94078,2.59158,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984
21,2348.19,1.8067,2.01488,2.4388,0.65134,0.55392,0.60816,0.29965,1.7239,1.77924,2.5294,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
22,2464.97,1.72854,1.94645,2.39364,0.62293,0.55415,0.59055,0.28273,1.74386,1.79004,2.50214,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
23,2581.3,1.75936,1.91913,2.39041,0.67976,0.55532,0.62637,0.30904,1.71632,1.67808,2.46953,0.0042576,0.0014192,0.0042576,0.0014192,0.0042576,0.0014192,0.0042576,0.0014192
24,2696.67,1.70747,1.89308,2.36175,0.64959,0.55742,0.60452,0.30333,1.70105,1.71138,2.49308,0.0041784,0.0013928,0.0041784,0.0013928,0.0041784,0.0013928,0.0041784,0.0013928
25,2812.13,1.67525,1.85041,2.30807,0.68849,0.59804,0.65713,0.33334,1.63774,1.61682,2.42188,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
26,2929.25,1.67697,1.84031,2.30963,0.64178,0.55704,0.60508,0.31024,1.69651,1.6959,2.48773,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
27,3044.59,1.66121,1.8028,2.27909,0.67197,0.60364,0.66441,0.35349,1.5978,1.55863,2.35966,0.0039408,0.0013136,0.0039408,0.0013136,0.0039408,0.0013136,0.0039408,0.0013136
28,3160.06,1.62669,1.7962,2.23518,0.71334,0.62395,0.69293,0.37191,1.57566,1.50083,2.31985,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
29,3276.29,1.62497,1.73098,2.23176,0.71177,0.61204,0.69399,0.38296,1.55085,1.49093,2.29702,0.0037824,0.0012608,0.0037824,0.0012608,0.0037824,0.0012608,0.0037824,0.0012608
30,3392.09,1.59698,1.7371,2.23159,0.70075,0.62478,0.69071,0.37573,1.54545,1.49574,2.28756,0.0037032,0.0012344,0.0037032,0.0012344,0.0037032,0.0012344,0.0037032,0.0012344
31,3507.34,1.5907,1.72295,2.19775,0.72673,0.64776,0.72155,0.39987,1.48715,1.47522,2.20773,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
32,3622.56,1.5479,1.67859,2.17898,0.71104,0.59874,0.67891,0.37541,1.52756,1.48377,2.26195,0.0035448,0.0011816,0.0035448,0.0011816,0.0035448,0.0011816,0.0035448,0.0011816
33,3738.55,1.547,1.68376,2.16933,0.75089,0.60504,0.70418,0.37485,1.54176,1.5449,2.29249,0.0034656,0.0011552,0.0034656,0.0011552,0.0034656,0.0011552,0.0034656,0.0011552
34,3854.69,1.51493,1.62859,2.13649,0.74556,0.66279,0.73324,0.41922,1.44186,1.41102,2.17233,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
35,3969.13,1.50779,1.60875,2.11234,0.73918,0.65493,0.73832,0.41457,1.45687,1.39024,2.16584,0.0033072,0.0011024,0.0033072,0.0011024,0.0033072,0.0011024,0.0033072,0.0011024
36,4083.6,1.51046,1.60598,2.12655,0.75475,0.68067,0.74167,0.43248,1.43194,1.3374,2.15323,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
37,4199.33,1.46956,1.57844,2.08588,0.74872,0.69328,0.75744,0.44046,1.40387,1.32069,2.12326,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
38,4314.75,1.4652,1.57075,2.08336,0.77007,0.6872,0.75923,0.44247,1.40837,1.30869,2.12674,0.0030696,0.0010232,0.0030696,0.0010232,0.0030696,0.0010232,0.0030696,0.0010232
39,4429.53,1.46374,1.53668,2.06168,0.78483,0.70028,0.77037,0.452,1.39318,1.28894,2.09379,0.0029904,0.0009968,0.0029904,0.0009968,0.0029904,0.0009968,0.0029904,0.0009968
